eventGroup	count	month	year
Disturbances	1662	7	2010
Other Property	330	7	2010
Nuisance, Mischief 	270	7	2010
Traffic Related Calls	2668	7	2010
Suspicious Circumstances	2096	7	2010
Mental Health	271	7	2010
Liquor Violations	651	7	2010
Trespass	455	7	2010
Assaults	194	7	2010
Narcotics Complaints	265	7	2010
Accident Investigation	658	7	2010
Shoplifting	256	7	2010
Prowler	16	7	2010
Burglary	269	7	2010
Hazards	82	7	2010
Property Damage	203	7	2010
Car Prowl	409	7	2010
Bike	32	7	2010
Prostitution	86	7	2010
Miscellaneous Misdemeanors	143	7	2010
Animal Complaints	41	7	2010
Threats, Harassment	140	7	2010
Person Down/Injury	101	7	2010
Auto Thefts	220	7	2010
Persons - Lost, Found, Missing	59	7	2010
False Alarms	436	7	2010
Robbery	73	7	2010
Arrest	246	7	2010
Property - Missing, Found	117	7	2010
Reckless Burning	5	7	2010
Weapons Calls	35	7	2010
Lewd Conduct	30	7	2010
Fraud Calls	128	7	2010
Harbor Calls	16	7	2010
Drive By (No Injury)	5	7	2010
Other Vice	4	7	2010
Failure To Register (Sex Offender)	1	7	2010
Homicide	2	7	2010
Disturbances	2353	1	2016
Suspicious Circumstances	2540	1	2016
Other Property	537	1	2016
False Alacad	895	1	2016
Trespass	780	1	2016
Traffic Related Calls	3535	1	2016
Behavioral Health	371	1	2016
Nuisance, Mischief	600	1	2016
Hazards	245	1	2016
Burglary	646	1	2016
Motor Vehicle Collision Investigation	1394	1	2016
Liquor Violations	910	1	2016
Car Prowl	861	1	2016
Shoplifting	611	1	2016
Fraud Calls	249	1	2016
Weapons Calls	34	1	2016
Auto Thefts	502	1	2016
Narcotics Complaints	304	1	2016
Property Damage	311	1	2016
Miscellaneous Misdemeanors	93	1	2016
Animal Complaints	41	1	2016
Assaults	290	1	2016
Arrest	124	1	2016
Property - Missing, Found	215	1	2016
Persons - Lost, Found, Missing	75	1	2016
Prostitution	34	1	2016
Robbery	105	1	2016
Prowler	35	1	2016
Threats, Harassment	203	1	2016
Person Down/Injury	120	1	2016
Homicide	3	1	2016
Bike	38	1	2016
Lewd Conduct	35	1	2016
Drive By (No Injury)	9	1	2016
Public Gatherings	10	1	2016
Reckless Burning	1	1	2016
Harbor Calls	8	1	2016
Other Vice	4	1	2016
Failure To Register (Sex Offender)	1	1	2016
Assaults	1	5	2010
Property Damage	3	5	2010
Auto Thefts	10	5	2010
Narcotics Complaints	2	5	2010
Other Property	1	5	2010
Burglary	4	5	2010
Fraud Calls	1	5	2010
Nuisance, Mischief 	1	5	2010
Suspicious Circumstances	1	5	2010
Accident Investigation	1	5	2010
Animal Complaints	1	5	2010
Threats, Harassment	2	5	2010
Disturbances	1	5	2010
Traffic Related Calls	4183	6	2016
Shoplifting	669	6	2016
Disturbances	3419	6	2016
Car Prowl	689	6	2016
Suspicious Circumstances	3217	6	2016
Motor Vehicle Collision Investigation	1583	6	2016
False Alacad	1073	6	2016
Trespass	801	6	2016
Miscellaneous Misdemeanors	128	6	2016
Property Damage	422	6	2016
Liquor Violations	1138	6	2016
Nuisance, Mischief	740	6	2016
Behavioral Health	495	6	2016
Burglary	559	6	2016
Auto Thefts	412	6	2016
Hazards	352	6	2016
Narcotics Complaints	362	6	2016
Person Down/Injury	180	6	2016
Assaults	420	6	2016
Other Property	581	6	2016
Threats, Harassment	238	6	2016
Persons - Lost, Found, Missing	138	6	2016
Robbery	130	6	2016
Lewd Conduct	93	6	2016
Property - Missing, Found	297	6	2016
Prostitution	32	6	2016
Fraud Calls	263	6	2016
Weapons Calls	63	6	2016
Prowler	39	6	2016
Arrest	138	6	2016
Animal Complaints	80	6	2016
Bike	76	6	2016
Harbor Calls	56	6	2016
Drive By (No Injury)	9	6	2016
Public Gatherings	11	6	2016
Homicide	3	6	2016
Other Vice	6	6	2016
Failure To Register (Sex Offender)	2	6	2016
Vice Calls	1	6	2016
Reckless Burning	4	6	2016
Car Prowl	12	6	2010
Traffic Related Calls	3	6	2010
Disturbances	1	6	2010
Suspicious Circumstances	1	6	2010
Assaults	2	6	2010
Auto Thefts	19	6	2010
Other Property	10	6	2010
Accident Investigation	2	6	2010
Shoplifting	8	6	2010
Fraud Calls	6	6	2010
Property Damage	3	6	2010
Miscellaneous Misdemeanors	1	6	2010
Bike	2	6	2010
Property - Missing, Found	4	6	2010
Burglary	3	6	2010
Threats, Harassment	2	6	2010
Motor Vehicle Collision Investigation	1440	5	2016
False Alacad	1020	5	2016
Liquor Violations	1194	5	2016
Disturbances	3378	5	2016
Traffic Related Calls	4022	5	2016
Assaults	412	5	2016
Other Property	578	5	2016
Trespass	847	5	2016
Nuisance, Mischief	746	5	2016
Shoplifting	656	5	2016
Threats, Harassment	214	5	2016
Suspicious Circumstances	3263	5	2016
Hazards	328	5	2016
Narcotics Complaints	383	5	2016
Behavioral Health	506	5	2016
Property - Missing, Found	281	5	2016
Property Damage	375	5	2016
Car Prowl	840	5	2016
Animal Complaints	65	5	2016
Person Down/Injury	132	5	2016
Miscellaneous Misdemeanors	124	5	2016
Persons - Lost, Found, Missing	114	5	2016
Auto Thefts	420	5	2016
Arrest	135	5	2016
Weapons Calls	55	5	2016
Bike	76	5	2016
Burglary	640	5	2016
Fraud Calls	255	5	2016
Harbor Calls	25	5	2016
Prostitution	17	5	2016
Robbery	122	5	2016
Lewd Conduct	67	5	2016
Drive By (No Injury)	8	5	2016
Prowler	25	5	2016
Public Gatherings	12	5	2016
Failure To Register (Sex Offender)	6	5	2016
Reckless Burning	4	5	2016
Other Vice	3	5	2016
Shoplifting	1	1	2010
Traffic Related Calls	6	1	2010
Auto Thefts	3	1	2010
Suspicious Circumstances	4	1	2010
Assaults	3	1	2010
Burglary	1	1	2010
Liquor Violations	1	1	2010
Other Property	1	1	2010
Narcotics Complaints	3	1	2010
Trespass	861	8	2010
Hazards	172	8	2010
Traffic Related Calls	5375	8	2010
Accident Investigation	1449	8	2010
Person Down/Injury	191	8	2010
Disturbances	3549	8	2010
Suspicious Circumstances	4737	8	2010
Miscellaneous Misdemeanors	302	8	2010
Arrest	591	8	2010
False Alarms	1002	8	2010
Car Prowl	769	8	2010
Other Property	643	8	2010
Liquor Violations	1309	8	2010
Threats, Harassment	277	8	2010
Mental Health	552	8	2010
Narcotics Complaints	651	8	2010
Property - Missing, Found	239	8	2010
Property Damage	398	8	2010
Auto Thefts	410	8	2010
